cluster1,cluster2,cluster3,cluster4
0.3933,0.124,0.4494,0.0333
0.9098,0.0518,0,0.0384
0.3194,0,0.6769,0.0037
0.9372,0,0,0.0628
0.2771,0.0006,0.3919,0.3304
0.8965,0,0.0028,0.1007
0.8665,0.0242,0.0301,0.0792
0.9187,0.0366,0,0.0447
0.7311,0.14,0.0196,0.1093
0.8521,0.0143,0.0039,0.1298
0.372,0.0621,0.5257,0.0402
0.4188,0.0112,0.5646,0.0053
0.8847,0.0078,0.0022,0.1053
0.3439,0,0.6437,0.0124
0.1015,0.8985,0,0
0,0,0.8343,0.1657
0.0442,0,0.1624,0.7934
0.9248,0,0,0.0752
0.8148,0.0234,0.0364,0.1253
0.0067,0,0.8422,0.1511
0,0,0.8836,0.1164
0.0695,0.9221,0.0059,0.0026
0,0,0.8552,0.1448
0,0,0.894,0.106
0,0.9844,0,0.0156
0,0,0.8872,0.1128
0,0,0.8729,0.1271
0.8846,0,0.0002,0.1152
0.9452,0.0522,0.0001,0.0025
0.0342,0.9658,0,0
0.0546,0.9093,0,0.0361
0,1,0,0
0,0.1362,0.729,0.1348
0.9033,0.0082,0.0015,0.087
0.4415,0.4378,0.084,0.0367
0.0782,0.8894,0.0018,0.0306
0,0.9999,0,0.0001
0,0,0.9292,0.0708
0,0.9971,0,0.0029
0.0222,0.9421,0.0129,0.0228
0,0.9975,0,0.0025
0.0294,0.9406,0.0044,0.0256
0,0.9994,0,0.0006
0,0,0.8381,0.1619
0,0,0.8258,0.1742
0,0.2474,0.619,0.1337
0,0.2422,0.6578,0.1
0.0602,0.9128,0.0068,0.0202
0.022,0.9762,0,0.0018
0,0.9983,0,0.0017
0.0184,0.9816,0,0
0,0,0.8735,0.1265
0.0273,0.9176,0.0512,0.004
0.052,0.948,0,0
0,1,0,0
0.0036,0.1919,0.6611,0.1434
0.2255,0.7172,0.0027,0.0546
0,0.2225,0.6185,0.159
0.9727,0.0179,0.0008,0.0086
0.0523,0.9427,0,0.005
0.0683,0.0015,0.0798,0.8505
0.3377,0.0078,0.6504,0.0042
0.9341,0,0,0.0659
0.0014,0,0.8506,0.148
0.0261,0.9643,0.0062,0.0034
0,0,0.8378,0.1622
0,0,0.9002,0.0998
0.8364,0,0.0238,0.1399
0.7901,0.0451,0.0671,0.0977
0.354,0,0.6401,0.0059
0.9099,0,0,0.0901
0.036,0.0033,0.061,0.8997
0,0,0.8533,0.1467
0,0,0.8527,0.1473
0.0001,0,0.815,0.1849
0,0.2347,0.6323,0.133
0.0411,0,0.0535,0.9055
0.0722,0.0003,0.0949,0.8326
0,0,0.8646,0.1354
0,0.9763,0.0164,0.0073
0,0,0.8544,0.1456
0,0.979,0.001,0.02
0,0,0.8397,0.1603
0.875,0.0001,0.0406,0.0843
0,0,0.8458,0.1542
