sample,site,pop,region,depthM,depthZone,dateCollected,lat,lon,regionDepth
blz_001,RW,Belize Barrier Reef,BLZ,10.7,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_003,RW,Belize Barrier Reef,BLZ,10.1,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_004,RW,Belize Barrier Reef,BLZ,10.4,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_005,RW,Belize Barrier Reef,BLZ,10.7,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_006,SR,Belize Barrier Reef,BLZ,8.5,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_007,SR,Belize Barrier Reef,BLZ,9.1,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_008,SR,Belize Barrier Reef,BLZ,10.4,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_009,SR,Belize Barrier Reef,BLZ,10.1,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_010,SR,Belize Barrier Reef,BLZ,10.7,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_011,TR,Belize Barrier Reef,BLZ,10.1,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_012,TR,Belize Barrier Reef,BLZ,10.4,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_013,TR,Belize Barrier Reef,BLZ,10.4,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_014,TR,Belize Barrier Reef,BLZ,9.8,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_015,TR,Belize Barrier Reef,BLZ,9.4,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_016,RW,Belize Barrier Reef,BLZ,16.5,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_017,RW,Belize Barrier Reef,BLZ,15.2,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_018,RW,Belize Barrier Reef,BLZ,15.8,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_019,RW,Belize Barrier Reef,BLZ,18.3,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_020,RW,Belize Barrier Reef,BLZ,15.8,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_021,SR,Belize Barrier Reef,BLZ,15.2,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_022,SR,Belize Barrier Reef,BLZ,15.2,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_023,SR,Belize Barrier Reef,BLZ,15.8,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_024,SR,Belize Barrier Reef,BLZ,15.5,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_025,SR,Belize Barrier Reef,BLZ,15.2,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_026,TR,Belize Barrier Reef,BLZ,17.1,Shallow,3/24/17,16.832433,-88.074017,BLZShallow
blz_027,TR,Belize Barrier Reef,BLZ,17.1,Shallow,3/24/17,16.832433,-88.074017,BLZShallow
blz_028,TR,Belize Barrier Reef,BLZ,17.1,Shallow,3/24/17,16.832433,-88.074017,BLZShallow
blz_029,TR,Belize Barrier Reef,BLZ,17.1,Shallow,3/24/17,16.832433,-88.074017,BLZShallow
blz_030,TR,Belize Barrier Reef,BLZ,16.5,Shallow,3/24/17,16.832433,-88.074017,BLZShallow
blz_031,RW,Belize Barrier Reef,BLZ,28.3,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_032,RW,Belize Barrier Reef,BLZ,26.2,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_033,RW,Belize Barrier Reef,BLZ,24.4,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_034,RW,Belize Barrier Reef,BLZ,22.6,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_035,RW,Belize Barrier Reef,BLZ,22.3,Shallow,3/23/17,16.776067,-88.07465,BLZShallow
blz_037,SR,Belize Barrier Reef,BLZ,28,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_038,SR,Belize Barrier Reef,BLZ,24.4,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_039,SR,Belize Barrier Reef,BLZ,25,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_040,SR,Belize Barrier Reef,BLZ,25,Shallow,3/24/17,16.76895,-88.073883,BLZShallow
blz_041,TR,Belize Barrier Reef,BLZ,27.4,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_042,TR,Belize Barrier Reef,BLZ,27.1,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_043,TR,Belize Barrier Reef,BLZ,25.6,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_044,TR,Belize Barrier Reef,BLZ,26.2,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_045,TR,Belize Barrier Reef,BLZ,23.8,Shallow,3/25/17,16.832433,-88.074017,BLZShallow
blz_046,SR,Belize Barrier Reef,BLZ,36,Mesophotic,3/5/16,16.76895,-88.073883,BLZMesophotic
blz_047,SR,Belize Barrier Reef,BLZ,33.2,Mesophotic,3/5/16,16.76895,-88.073883,BLZMesophotic
blz_048,SR,Belize Barrier Reef,BLZ,33.8,Mesophotic,3/5/16,16.76895,-88.073883,BLZMesophotic
blz_049,SR,Belize Barrier Reef,BLZ,31.7,Mesophotic,3/5/16,16.76895,-88.073883,BLZMesophotic
blz_050,RW,Belize Barrier Reef,BLZ,34.4,Mesophotic,3/6/16,16.776067,-88.07465,BLZMesophotic
blz_051,RW,Belize Barrier Reef,BLZ,32.3,Mesophotic,3/6/16,16.776067,-88.07465,BLZMesophotic
blz_052,RW,Belize Barrier Reef,BLZ,34.7,Mesophotic,3/6/16,16.776067,-88.07465,BLZMesophotic
blz_053,RW,Belize Barrier Reef,BLZ,35.1,Mesophotic,3/6/16,16.776067,-88.07465,BLZMesophotic
blz_054,RW,Belize Barrier Reef,BLZ,31.4,Mesophotic,3/6/16,16.776067,-88.07465,BLZMesophotic
blz_055,TR,Belize Barrier Reef,BLZ,31.4,Mesophotic,3/7/16,16.832433,-88.074017,BLZMesophotic
blz_056,TR,Belize Barrier Reef,BLZ,32.9,Mesophotic,3/7/16,16.832433,-88.074017,BLZMesophotic
blz_057,TR,Belize Barrier Reef,BLZ,37.5,Mesophotic,3/8/16,16.832433,-88.074017,BLZMesophotic
blz_058,TR,Belize Barrier Reef,BLZ,37.5,Mesophotic,3/8/16,16.832433,-88.074017,BLZMesophotic
blz_059,TR,Belize Barrier Reef,BLZ,29.3,Shallow,3/8/16,16.832433,-88.074017,BLZShallow
blz_060,SR,Belize Barrier Reef,BLZ,37.2,Mesophotic,3/8/16,16.76895,-88.073883,BLZMesophotic
blz_061,GR,Glover's Reef Atoll,BLZ,11,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_062,GR,Glover's Reef Atoll,BLZ,10.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_063,GR,Glover's Reef Atoll,BLZ,9.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_064,GR,Glover's Reef Atoll,BLZ,10.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_065,GR,Glover's Reef Atoll,BLZ,9.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_066,GR,Glover's Reef Atoll,BLZ,9.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_067,GR,Glover's Reef Atoll,BLZ,10.7,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_068,GR,Glover's Reef Atoll,BLZ,10.7,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_069,GR,Glover's Reef Atoll,BLZ,11.3,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_070,GR,Glover's Reef Atoll,BLZ,8.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_071,GR,Glover's Reef Atoll,BLZ,8.5,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_072,GR,Glover's Reef Atoll,BLZ,9.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_073,GR,Glover's Reef Atoll,BLZ,10.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_074,GR,Glover's Reef Atoll,BLZ,9.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_075,GR,Glover's Reef Atoll,BLZ,8.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_076,GR,Glover's Reef Atoll,BLZ,18.3,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_077,GR,Glover's Reef Atoll,BLZ,18.3,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_078,GR,Glover's Reef Atoll,BLZ,16.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_079,GR,Glover's Reef Atoll,BLZ,15.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_081,GR,Glover's Reef Atoll,BLZ,15.2,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_082,GR,Glover's Reef Atoll,BLZ,14.9,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_083,GR,Glover's Reef Atoll,BLZ,15.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_084,GR,Glover's Reef Atoll,BLZ,17.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_085,GR,Glover's Reef Atoll,BLZ,16.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_086,GR,Glover's Reef Atoll,BLZ,17.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_087,GR,Glover's Reef Atoll,BLZ,16.2,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_088,GR,Glover's Reef Atoll,BLZ,14,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_089,GR,Glover's Reef Atoll,BLZ,14.3,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_090,GR,Glover's Reef Atoll,BLZ,16.5,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_091,GR,Glover's Reef Atoll,BLZ,25.9,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_092,GR,Glover's Reef Atoll,BLZ,23.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_093,GR,Glover's Reef Atoll,BLZ,23.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_094,GR,Glover's Reef Atoll,BLZ,27.4,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_095,GR,Glover's Reef Atoll,BLZ,28.3,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_096,GR,Glover's Reef Atoll,BLZ,27.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_097,GR,Glover's Reef Atoll,BLZ,28.7,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_098,GR,Glover's Reef Atoll,BLZ,25.6,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_099,GR,Glover's Reef Atoll,BLZ,24.4,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_100,GR,Glover's Reef Atoll,BLZ,25,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_101,GR,Glover's Reef Atoll,BLZ,26.8,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_102,GR,Glover's Reef Atoll,BLZ,24.1,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_103,GR,Glover's Reef Atoll,BLZ,22.9,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_104,GR,Glover's Reef Atoll,BLZ,24.7,Shallow,3/27/17,16.755383,-87.78125,BLZShallow
blz_105,GR,Glover's Reef Atoll,BLZ,37.8,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_106,GR,Glover's Reef Atoll,BLZ,35.7,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_107,GR,Glover's Reef Atoll,BLZ,35.4,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_108,GR,Glover's Reef Atoll,BLZ,32.6,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_109,GR,Glover's Reef Atoll,BLZ,35.1,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_110,GR,Glover's Reef Atoll,BLZ,34.1,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_111,GR,Glover's Reef Atoll,BLZ,34.1,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_112,GR,Glover's Reef Atoll,BLZ,34.1,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_113,GR,Glover's Reef Atoll,BLZ,34.1,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
blz_114,GR,Glover's Reef Atoll,BLZ,33.5,Mesophotic,3/27/17,16.755383,-87.78125,BLZMesophotic
