oldFile,newFile
SF001,sf_001
SF002,sf_002
SF003,sf_003
SF004,sf_004
SF005,sf_005
SF006,sf_006
SF007,sf_007
SF008,sf_008
SF009,sf_009
SF010,sf_010
SF011,sf_011
SF012,sf_012
SF013,sf_013
SF014,sf_014
SF015,sf_015
SF016,sf_016
SF017,sf_017
SF018,sf_018
SF019,sf_019
SF020-2,sf_020-2
SF020-3,sf_020-3
SF020,sf_020
SF021,sf_021
SF022,sf_022
SF023,sf_023
SF026,sf_026
SF027,sf_027
SF028,sf_028
SF030,sf_030
SF031,sf_031
SF032,sf_032
SF034,sf_034
SF035,sf_035
SF036,sf_036
SF037,sf_037
SF038,sf_038
SF039-2,sf_039-2
SF039-3,sf_039-3
SF039,sf_039
SF040,sf_040
SF041,sf_041
SF042,sf_042
SF043,sf_043
SF044-2,sf_044-2
SF044-3,sf_044-3
SF044,sf_044
SF045,sf_045
SF046,sf_046
SF047,sf_047
SF048,sf_048
SF049,sf_049
SF050,sf_050
SF051,sf_051
SF052,sf_052
SF053,sf_053
SF054,sf_054
SF055,sf_055
SF056,sf_056
SF057,sf_057
SF058,sf_058
SF059,sf_059
SF060,sf_060
SF061,sf_061
SF062,sf_062
SF063,sf_063
SF064,sf_064
SF065,sf_065
SF067,sf_067
SF070,sf_070
SF071,sf_071
SF073,sf_073
SF074,sf_074
SF075,sf_075
CU018RE,cuba_018RE
CU018,cuba_018RS
CU044RE,cuba_044RE
CU044,cuba_044RS
CU061RE,cuba_061RE
CU061,cuba_061RS
Cuba_01,cuba_001
Cuba_02,cuba_002
Cuba_03,cuba_003
Cuba_04,cuba_004
Cuba_06,cuba_006
Cuba_09,cuba_009
Cuba_10,cuba_010
Cuba_11,cuba_011
Cuba_12,cuba_012
Cuba_13,cuba_013
Cuba_14,cuba_014
Cuba_15,cuba_015
Cuba_16,cuba_016
Cuba_17,cuba_017
Cuba_18-1,cuba_018-1
Cuba_18-2,cuba_018-2
Cuba_18,cuba_018
Cuba_19,cuba_019
Cuba_20,cuba_020
Cuba_21,cuba_021
Cuba_22,cuba_022
Cuba_23,cuba_023
Cuba_24,cuba_024
Cuba_25,cuba_025
Cuba_26,cuba_026
Cuba_27,cuba_027
Cuba_28,cuba_028
Cuba_29,cuba_029
Cuba_30,cuba_030
Cuba_31,cuba_031
Cuba_32,cuba_032
Cuba_33,cuba_033
Cuba_34,cuba_034
Cuba_35,cuba_035
Cuba_36,cuba_036
Cuba_37,cuba_037
Cuba_38,cuba_038
Cuba_41,cuba_041
Cuba_43,cuba_043
Cuba_44-1,cuba_044-1
Cuba_44-2,cuba_044-2
Cuba_44,cuba_044
Cuba_45,cuba_045
Cuba_46,cuba_046
Cuba_47,cuba_047
Cuba_48,cuba_048
Cuba_49,cuba_049
Cuba_50,cuba_050
Cuba_51,cuba_051
Cuba_52,cuba_052
Cuba_53,cuba_053
Cuba_54,cuba_054
Cuba_55,cuba_055
Cuba_56,cuba_056
Cuba_57,cuba_057
Cuba_58,cuba_058
Cuba_59,cuba_059
Cuba_60,cuba_060
Cuba_61-1,cuba_061-1
Cuba_61-2,cuba_061-2
Cuba_61,cuba_061
Cuba_62,cuba_062
Cuba_63,cuba_063
Cuba_65,cuba_065
Cuba_66,cuba_066
Cuba_67,cuba_067
Cuba_68,cuba_068
Cuba_69,cuba_069
Cuba_70,cuba_070
Cuba_71,cuba_071
Cuba_73,cuba_073
Cuba_74,cuba_074
Cuba_75,cuba_075
Cuba_76,cuba_076
Cuba_77,cuba_077
Cuba_78,cuba_078
Cuba_81,cuba_081
Cuba_82,cuba_082
Cuba_83,cuba_083
Cuba_86,cuba_086
Cuba_88,cuba_088
Cuba_89,cuba_089
Cuba_90,cuba_090
Cuba_91,cuba_091
Cuba_93,cuba_093
Cuba_94,cuba_094
Cuba_96,cuba_096
